x,y
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
188.0,67.0
186.0,67.0
187.0,67.0
187.0,67.0
187.0,67.0
188.0,67.0
187.0,67.0
187.0,67.0
188.0,67.0
190.0,67.0
190.0,67.0
198.0,67.0
203.0,67.0
206.0,66.0
211.0,66.0
219.0,66.0
224.0,67.0
228.0,67.0
246.0,67.0
249.0,67.0
254.0,67.0
271.0,67.0
276.0,66.0
280.0,66.0
285.0,67.0
297.0,67.0
302.0,67.0
307.0,66.0
311.0,66.0
315.0,66.0
337.0,66.0
342.0,66.0
347.0,66.0
350.0,66.0
355.0,67.0
358.0,66.0
375.0,66.0
380.0,66.0
385.0,66.0
388.0,66.0
393.0,66.0
410.0,66.0
410.0,66.0
414.0,66.0
418.0,66.0
426.0,66.0
443.0,66.0
448.0,66.0
452.0,66.0
456.0,66.0
474.0,66.0
478.0,66.0
483.0,66.0
483.0,66.0
501.0,66.0
505.0,66.0
509.0,66.0
515.0,66.0
518.0,66.0
540.0,66.0
545.0,66.0
549.0,66.0
554.0,66.0
557.0,65.0
576.0,65.0
579.0,65.0
584.0,65.0
588.0,65.0
600.0,65.0
602.0,65.0
607.0,66.0
608.0,66.0
608.0,66.0
607.0,66.0
608.0,66.0
608.0,66.0
608.0,66.0
608.0,66.0
608.0,66.0
608.0,66.0
608.0,66.0
608.0,66.0
608.0,66.0
607.0,67.0
607.0,67.0
603.0,67.0
602.0,67.0
598.0,67.0
598.0,68.0
597.0,68.0
596.0,68.0
592.0,68.0
576.0,68.0
571.0,68.0
567.0,69.0
563.0,68.0
559.0,68.0
554.0,69.0
537.0,69.0
537.0,69.0
533.0,68.0
516.0,68.0
507.0,68.0
503.0,68.0
498.0,68.0
494.0,68.0
490.0,68.0
486.0,68.0
481.0,68.0
465.0,68.0
460.0,68.0
456.0,68.0
451.0,68.0
447.0,68.0
429.0,68.0
425.0,68.0
421.0,68.0
421.0,68.0
398.0,68.0
394.0,68.0
389.0,68.0
385.0,68.0
368.0,68.0
364.0,68.0
359.0,68.0
355.0,68.0
351.0,68.0
347.0,67.0
334.0,68.0
329.0,68.0
321.0,68.0
308.0,68.0
300.0,68.0
296.0,68.0
291.0,68.0
288.0,68.0
284.0,68.0
279.0,68.0
278.0,68.0
277.0,68.0
277.0,68.0
277.0,68.0
277.0,68.0
277.0,68.0
277.0,68.0
277.0,68.0
277.0,68.0
277.0,68.0
277.0,68.0
277.0,68.0
277.0,68.0
277.0,68.0
277.0,68.0
277.0,68.0
281.0,68.0
283.0,67.0
284.0,67.0
286.0,67.0
290.0,67.0
296.0,67.0
298.0,67.0
314.0,67.0
319.0,67.0
322.0,67.0
327.0,67.0
344.0,67.0
349.0,67.0
352.0,67.0
358.0,67.0
361.0,67.0
378.0,67.0
382.0,67.0
387.0,67.0
391.0,67.0
395.0,67.0
412.0,67.0
416.0,67.0
420.0,67.0
425.0,67.0
428.0,67.0
434.0,67.0
450.0,67.0
455.0,67.0
459.0,67.0
464.0,67.0
477.0,67.0
486.0,67.0
490.0,67.0
495.0,67.0
499.0,67.0
516.0,67.0
534.0,67.0
538.0,67.0
542.0,67.0
547.0,67.0
561.0,67.0
562.0,67.0
564.0,66.0
565.0,67.0
565.0,67.0
566.0,66.0
566.0,67.0
566.0,67.0
566.0,67.0
567.0,67.0
566.0,67.0
566.0,67.0
567.0,67.0
566.0,67.0
566.0,67.0
567.0,67.0
566.0,67.0
566.0,67.0
566.0,67.0
566.0,67.0
566.0,67.0
566.0,67.0
566.0,67.0
566.0,67.0
566.0,67.0
565.0,67.0
561.0,68.0
560.0,68.0
557.0,68.0
556.0,68.0
554.0,69.0
553.0,69.0
542.0,69.0
538.0,69.0
530.0,69.0
513.0,69.0
509.0,68.0
504.0,69.0
487.0,69.0
483.0,69.0
479.0,68.0
475.0,69.0
457.0,69.0
453.0,69.0
448.0,68.0
444.0,69.0
427.0,69.0
422.0,69.0
419.0,69.0
401.0,69.0
396.0,69.0
392.0,69.0
375.0,69.0
371.0,68.0
367.0,68.0
350.0,68.0
345.0,68.0
342.0,68.0
337.0,68.0
333.0,68.0
328.0,68.0
312.0,69.0
307.0,69.0
303.0,69.0
299.0,68.0
295.0,68.0
285.0,69.0
273.0,68.0
269.0,69.0
266.0,69.0
261.0,68.0
260.0,68.0
260.0,68.0
260.0,68.0
260.0,69.0
260.0,69.0
260.0,69.0
260.0,69.0
260.0,69.0
260.0,69.0
260.0,69.0
260.0,69.0
260.0,69.0
260.0,69.0
260.0,69.0
260.0,69.0
260.0,69.0
260.0,69.0
260.0,69.0
260.0,68.0
260.0,69.0
260.0,68.0
260.0,68.0
260.0,68.0
259.0,69.0
259.0,69.0
260.0,68.0
259.0,69.0
260.0,68.0
260.0,68.0
260.0,68.0
260.0,68.0
261.0,68.0
262.0,68.0
265.0,68.0
271.0,68.0
273.0,68.0
276.0,68.0
281.0,68.0
